customer_id,churn_label,churn_value,churn_score,cltv,churn_reason
3668-QPYBK,1,1,86,3239,Competitor made better offer
9237-HQITU,1,1,67,2701,Moved
9305-CDSKC,1,1,86,5372,Moved
7892-POOKP,1,1,84,5003,Moved
0280-XJGEX,1,1,89,5340,Competitor had better devices
4190-MFLUW,1,1,78,5925,Competitor offered higher download speeds
8779-QRDMV,1,1,100,5433,Competitor offered more data
1066-JKSGK,1,1,92,4832,Competitor made better offer
6467-CHFZW,1,1,77,5789,Competitor had better devices
8665-UTDHZ,1,1,97,2915,Competitor had better devices
8773-HHUOZ,1,1,74,3022,Competitor offered higher download speeds
6047-YHPVI,1,1,66,2454,Competitor offered higher download speeds
5380-WJKOV,1,1,65,2941,Competitor offered higher download speeds
8168-UQWWF,1,1,70,5674,Competitor offered more data
7760-OYPDY,1,1,90,5586,Competitor offered more data
9420-LOJKX,1,1,82,2966,Competitor offered more data
7495-OOKFY,1,1,69,5302,Competitor made better offer
1658-BYGOY,1,1,81,3179,Competitor made better offer
5698-BQJOH,1,1,96,5571,Price too high
5919-TMRGD,1,1,87,2483,Product dissatisfaction
9191-MYQKX,1,1,70,3457,Service dissatisfaction
8637-XJIVR,1,1,86,5806,Lack of self-service on Website
0278-YXOOG,1,1,66,2604,Network reliability
4598-XLKNJ,1,1,88,5337,Limited range of services
3192-NQECA,1,1,86,5034,Lack of affordable download/upload speed
0486-HECZI,1,1,75,5154,Long distance charges
4846-WHAFZ,1,1,67,2793,Extra data charges
5299-RULOA,1,1,87,5998,Price too high
0404-SWRVG,1,1,76,4415,Product dissatisfaction
4412-YLTKF,1,1,95,4638,Service dissatisfaction
6207-WIOLX,1,1,99,4190,Lack of self-service on Website
3091-FYHKI,1,1,80,2301,Network reliability
2372-HWUHI,1,1,76,2570,Don't know
0390-DCFDQ,1,1,76,3964,Don't know
4080-OGPJL,1,1,66,2662,Don't know
2135-RXIHG,1,1,73,2600,Poor expertise of online support
3874-EQOEP,1,1,94,2786,Poor expertise of phone support
0867-MKZVY,1,1,86,5719,Price too high
3376-BMGFE,1,1,75,4287,Product dissatisfaction
3445-HXXGF,1,1,100,5444,Service dissatisfaction
1875-QIVME,1,1,83,4690,Lack of self-service on Website
0691-JVSYA,1,1,80,4328,Network reliability
2656-FMOKZ,1,1,99,5717,Limited range of services
2070-FNEXE,1,1,81,4419,Lack of affordable download/upload speed
6317-YPKDH,1,1,95,4534,Long distance charges
9367-WXLCH,1,1,86,2152,Extra data charges
1918-ZBFQJ,1,1,73,5142,Price too high
