customer_id,gender,senior_citizen,partner,dependents,tenure_months,country,state,city,zip_code,latitude,longitude
3668-QPYBK,Male,0,0,0,2,United States,California,Los Angeles,90003,33.964131,-118.272783
9237-HQITU,Female,0,0,1,2,United States,California,Los Angeles,90005,34.059281,-118.30742
9305-CDSKC,Female,0,0,1,8,United States,California,Los Angeles,90006,34.048013,-118.293953
7892-POOKP,Female,0,1,1,28,United States,California,Los Angeles,90010,34.062125,-118.315709
0280-XJGEX,Male,0,0,1,49,United States,California,Los Angeles,90015,34.039224,-118.266293
4190-MFLUW,Female,0,1,0,10,United States,California,Los Angeles,90020,34.066367,-118.309868
8779-QRDMV,Male,1,0,0,1,United States,California,Los Angeles,90022,34.02381,-118.156582
1066-JKSGK,Male,0,0,0,1,United States,California,Los Angeles,90024,34.066303,-118.435479
6467-CHFZW,Male,0,1,1,47,United States,California,Los Angeles,90028,34.099869,-118.326843
8665-UTDHZ,Male,0,1,0,1,United States,California,Los Angeles,90029,34.089953,-118.294824
8773-HHUOZ,Female,0,0,0,17,United States,California,Los Angeles,90032,34.078821,-118.177576
6047-YHPVI,Male,0,0,1,5,United States,California,Los Angeles,90039,34.110845,-118.259595
5380-WJKOV,Male,0,0,1,34,United States,California,Los Angeles,90041,34.137412,-118.207607
8168-UQWWF,Female,0,0,1,11,United States,California,Los Angeles,90042,34.11572,-118.192754
7760-OYPDY,Female,0,0,1,2,United States,California,Los Angeles,90056,33.987945,-118.370442
9420-LOJKX,Female,0,0,1,15,United States,California,Los Angeles,90061,33.92128,-118.274186
7495-OOKFY,Female,1,1,1,8,United States,California,Los Angeles,90063,34.044271,-118.185237
1658-BYGOY,Male,1,0,1,18,United States,California,Los Angeles,90065,34.108833,-118.229715
5698-BQJOH,Female,0,0,1,9,United States,California,Beverly Hills,90211,34.063947,-118.383001
5919-TMRGD,Female,0,0,1,1,United States,California,Huntington Park,90255,33.97803,-118.217141
9191-MYQKX,Female,0,1,1,7,United States,California,Lynwood,90262,33.923573,-118.200669
8637-XJIVR,Female,0,0,1,12,United States,California,Marina Del Rey,90292,33.977468,-118.445475
0278-YXOOG,Male,0,0,0,5,United States,California,Inglewood,90301,33.956445,-118.358634
4598-XLKNJ,Female,1,1,1,25,United States,California,Inglewood,90303,33.936291,-118.332639
3192-NQECA,Male,0,1,0,68,United States,California,Santa Monica,90403,34.031529,-118.491156
0486-HECZI,Male,0,1,1,55,United States,California,Torrance,90504,33.867257,-118.330794
4846-WHAFZ,Female,1,1,1,37,United States,California,Whittier,90602,33.972119,-118.020188
5299-RULOA,Female,0,1,1,10,United States,California,Whittier,90606,33.976678,-118.065875
0404-SWRVG,Male,0,0,1,3,United States,California,La Habra,90631,33.940619,-117.9513
4412-YLTKF,Female,1,0,1,27,United States,California,Pico Rivera,90660,33.989524,-118.089299
6207-WIOLX,Female,0,1,0,25,United States,California,Avalon,90704,33.391181,-118.421305
3091-FYHKI,Male,0,0,0,1,United States,California,Harbor City,90710,33.798266,-118.300237
2372-HWUHI,Male,0,0,0,2,United States,California,Lakewood,90712,33.840524,-118.148403
0390-DCFDQ,Female,1,1,1,1,United States,California,Los Alamitos,90720,33.79499,-118.065591
4080-OGPJL,Female,0,0,0,8,United States,California,San Pedro,90731,33.736387,-118.284363
