timestamp,customer_id,senior_citizen,partner,dependents,tenure_months,monthly_charges,total_charges,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,city,contract_type,payment_method,internet_service
2026-04-10T15:51:59.885542,CUST_000001,0,1,0,6,18.0,102.9,0,0,0,0,0,0,0,0,Male,Houston,Month-to-month,Electronic check,No
2026-04-10T15:52:29.897814,CUST_000002,0,1,0,23,126.68,2622.46,1,1,1,0,0,1,1,1,Male,Houston,Month-to-month,Bank transfer (automatic),Fiber optic
2026-04-10T15:52:59.903138,CUST_000003,1,0,0,40,104.21,4521.72,1,1,0,0,1,0,1,1,Male,Houston,One year,Bank transfer (automatic),DSL
2026-04-10T15:53:29.906435,CUST_000004,0,0,1,13,99.64,1265.38,1,0,0,1,0,1,1,0,Female,Phoenix,One year,Credit card (automatic),Fiber optic
2026-04-10T15:53:59.920104,CUST_000005,0,1,0,55,103.26,6138.49,1,0,0,0,1,0,0,0,Male,Los Angeles,Two year,Credit card (automatic),Fiber optic
2026-04-10T15:54:29.924234,CUST_000006,0,1,0,17,95.38,1590.33,1,1,1,0,0,0,1,1,Female,Dallas,Month-to-month,Credit card (automatic),DSL
2026-04-10T15:54:59.929074,CUST_000007,0,1,0,10,51.2,535.5,1,1,0,0,0,0,0,0,Female,San Francisco,Month-to-month,Electronic check,No
2026-04-10T15:55:29.933129,CUST_000008,0,1,0,14,105.33,1344.19,1,1,0,1,0,1,0,0,Female,San Francisco,Month-to-month,Electronic check,Fiber optic
2026-04-10T15:55:59.936407,CUST_000009,0,1,0,3,110.52,349.49,1,0,0,1,1,0,1,1,Female,Chicago,Month-to-month,Bank transfer (automatic),Fiber optic
2026-04-10T15:56:29.942985,CUST_000010,0,0,1,56,114.85,6899.65,1,1,0,0,0,0,1,1,Female,New York,Two year,Electronic check,Fiber optic
2026-04-10T15:56:59.946957,CUST_000011,0,0,0,7,109.8,745.15,1,0,0,0,0,1,1,1,Male,Dallas,Month-to-month,Electronic check,Fiber optic
2026-04-10T15:57:29.950822,CUST_000012,1,0,1,26,106.72,2541.91,1,0,1,1,0,0,1,1,Male,Los Angeles,One year,Bank transfer (automatic),DSL
2026-04-10T15:57:59.954553,CUST_000013,0,1,1,17,98.57,1782.04,1,0,1,0,0,0,0,1,Male,Dallas,Month-to-month,Mailed check,Fiber optic
2026-04-10T15:58:29.958710,CUST_000014,0,1,1,40,78.62,3180.82,1,0,0,0,0,0,1,0,Male,Los Angeles,One year,Bank transfer (automatic),DSL
2026-04-10T15:58:59.964020,CUST_000015,0,0,0,43,120.28,5447.49,1,1,0,0,1,1,1,0,Female,Phoenix,One year,Credit card (automatic),Fiber optic
