feature,shap_value,abs_shap_value,customer_id,churn_probability
num__churn_score,-5.445121,5.445121,3551-GAEGL,0.0006535782
num__tenure_months,-0.357917,0.357917,3551-GAEGL,0.0006535782
num__monthly_charges,-0.33400795,0.33400795,3551-GAEGL,0.0006535782
cat__city_Pasadena,-0.3208687,0.3208687,3551-GAEGL,0.0006535782
cat__city_San Diego,0.28649348,0.28649348,3551-GAEGL,0.0006535782
cat__contract_type_Two year,-0.22723538,0.22723538,3551-GAEGL,0.0006535782
cat__contract_type_Month-to-month,0.2219557,0.2219557,3551-GAEGL,0.0006535782
cat__payment_method_Electronic check,0.15988657,0.15988657,3551-GAEGL,0.0006535782
cat__city_Riverside,-0.1549518,0.1549518,3551-GAEGL,0.0006535782
num__partner,0.12514709,0.12514709,3551-GAEGL,0.0006535782
cat__city_Anaheim,-0.10650227,0.10650227,3551-GAEGL,0.0006535782
cat__payment_method_Bank transfer (automatic),0.09347834,0.09347834,3551-GAEGL,0.0006535782
num__total_charges,-0.08272102,0.08272102,3551-GAEGL,0.0006535782
num__dependents,0.08264652,0.08264652,3551-GAEGL,0.0006535782
num__num_services,0.073669314,0.073669314,3551-GAEGL,0.0006535782
cat__city_Modesto,-0.06205441,0.06205441,3551-GAEGL,0.0006535782
num__cltv,0.054992348,0.054992348,3551-GAEGL,0.0006535782
cat__payment_method_Mailed check,-0.046848267,0.046848267,3551-GAEGL,0.0006535782
cat__payment_method_Credit card (automatic),-0.0415437,0.0415437,3551-GAEGL,0.0006535782
cat__city_Inglewood,-0.030608475,0.030608475,3551-GAEGL,0.0006535782
cat__city_Los Angeles,-0.030322375,0.030322375,3551-GAEGL,0.0006535782
cat__city_Oakland,0.02512981,0.02512981,3551-GAEGL,0.0006535782
num__has_internet,0.024027634,0.024027634,3551-GAEGL,0.0006535782
num__senior_citizen,-0.016158365,0.016158365,3551-GAEGL,0.0006535782
cat__city_Sacramento,0.012800184,0.012800184,3551-GAEGL,0.0006535782
cat__city_San Francisco,0.009436494,0.009436494,3551-GAEGL,0.0006535782
cat__gender_Female,-0.008157507,0.008157507,3551-GAEGL,0.0006535782
cat__contract_type_One year,0.0060668415,0.0060668415,3551-GAEGL,0.0006535782
cat__gender_Male,-0.001904028,0.001904028,3551-GAEGL,0.0006535782
cat__city_Fresno,0.0015527438,0.0015527438,3551-GAEGL,0.0006535782
cat__city_San Jose,-0.00056820177,0.00056820177,3551-GAEGL,0.0006535782
cat__city_Wilton,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Wilseyville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Wilmington,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Willows,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Willow Creek,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Willits,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Williams,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Wildomar,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Whittier,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Whitmore,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Whitethorn,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_White Water,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Wheatland,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Westwood,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Arnold,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Armona,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Arcata,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Arcadia,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Arbuckle,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Aptos,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Applegate,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Apple Valley,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Anza,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Antioch,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Antelope,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Zenia,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Yucca Valley,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Yucaipa,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Yuba City,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Baker,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Badger,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Azusa,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Avila Beach,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Avery,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Avenal,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Avalon,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Auburn,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Auberry,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Atwater,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Atherton,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Atascadero,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Arvin,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Artesia,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Arroyo Grande,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Aromas,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Ben Lomond,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Belvedere Tiburon,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Belmont,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bellflower,0.0,0.0,3551-GAEGL,0.0006535782
